ref,current_recall_status,TITLE,URL,MODULES,COMMITS
issues/14762,not_collected,mobile: use EIP155 signer,https://github.com/ethereum/go-ethereum/issues/14762,{'others': 1},{'cf5d4b55412f570bd1b492998b0c0b8e953e2418'}
issues/1485,not_collected,panic during during normal operation,https://github.com/ethereum/go-ethereum/issues/1485,{'others': 1},"{'02c5022742e2bf6d2aadca06a6a1655214ba9d55', '3642441ca3a0afe94e581612ff99aef7f0e66a44', '56edaa1653d3d3c9e1535e3552fd9b49724c42a7'}"
issues/15408,not_collected,Geth does not start after `panic: runtime error: invalid memory address or nil pointer dereference`,https://github.com/ethereum/go-ethereum/issues/15408,{'others': 1},{'e9971d356bf977d2a3f63e50296d7410ade2d075'}
issues/1559,not_collected,Panic when shutting down,https://github.com/ethereum/go-ethereum/issues/1559,{'consensus': 1},{'acd2c4e52028ec1e34358d6d79ada7812723b32e'}
issues/15617,not_collected,Tuple unpacking for static array overflows,https://github.com/ethereum/go-ethereum/issues/15617,{'wallet': 2},{'da58afcea0525fab2d3f45f58e7e243a15407ab9'}
issues/15858,not_collected,Unable to perform copydb (panic: runtime error: memory),https://github.com/ethereum/go-ethereum/issues/15858,{'network': 1},{'bc0666fb277be5e7d1fd7c5523a3b335b310a154'}
issues/16539,not_collected,downloader: Lock-up during sync due to circular return logic,https://github.com/ethereum/go-ethereum/issues/16539,{'network': 1},{'7cf83cee5240f76bdf8ff4f1024643fd126e1018'}
issues/16859,not_collected,Memory Leak Still Present in TxPool as of 1.8.10,https://github.com/ethereum/go-ethereum/issues/16859,{'rpc': 1},"{'17f80cc2e2d22e3ab78d6e60c5b90d61a04ea3b2', 'b659718fd0aa19c6b5977eb22cd58449bbb824a0'}"
issues/17633,not_collected,Clef: DoS through malicious method selector ,https://github.com/ethereum/go-ethereum/issues/17633,{'wallet': 1},{'16bc8741bfc6db6d7d352015e4324042dd9288a4'}
issues/17635,not_collected,Clef: Encrypted values from KV store are swappable. ,https://github.com/ethereum/go-ethereum/issues/17635,"{'ui': 2, 'rpc': 1, 'wallet': 6}",{'d3441ebb563439bac0837d70591f92e2c6080303'}
issues/17797,not_collected,ABI MethodById panic,https://github.com/ethereum/go-ethereum/issues/17797,{'wallet': 1},{'96fd50be10885c9b3033404df698177fdb63d036'}
issues/1818,not_collected,panic: runtime error: invalid memory address or nil pointer dereference,https://github.com/ethereum/go-ethereum/issues/1818,"{'ui': 2, 'util': 1}","{'581c0901af22d678aedd9eefae6144582c23e1a0', '74578ab22b24af99ff774927a18153f464334706'}"
issues/18977,not_collected,panic in WriteBlockWithState for very long low-td sidechain eventually beating canon chain,https://github.com/ethereum/go-ethereum/issues/18977,{'consensus': 3},"{'da1efdae0c2e6bb221927937eac0ea76225d97c2', '0436412412d59ac087b7861d49dab35f07e59d33'}"
issues/18994,not_collected,Panic in findAncestor,https://github.com/ethereum/go-ethereum/issues/18994,"{'ui': 1, 'util': 3}",{'f48da43bae183a04a23d298cb1790d2f8d2cec51'}
issues/19286,not_collected,"panic: interface conversion: interface {} is nil, not *types.Block",https://github.com/ethereum/go-ethereum/issues/19286,{'consensus': 1},{'ead711779d6e2e1d4593d7dcede8ae6454a3b961'}
